mask_areas , submitted
region_growing_area_9081 , submitted
region_growing_area_9081 , finished
region_growing_area_9082 , submitted
region_growing_area_9082 , finished
region_growing_area_9100 , submitted
region_growing_area_9100 , finished
region_growing_area_9110 , submitted
region_growing_area_9110 , finished
region_growing_area_9120 , submitted
region_growing_area_9120 , finished
region_growing_area_9130 , submitted
region_growing_area_9130 , finished
region_growing_area_9140 , submitted
region_growing_area_9140 , finished
region_growing_area_9150 , submitted
region_growing_area_9150 , finished
region_growing_area_9160 , submitted
region_growing_area_9160 , finished
region_growing_area_9170 , submitted
region_growing_area_9170 , finished
merge_part , submitted
merge_part , finished
