"" ,"cambridge100" ,"cambridge100bis" ,"per_disc" ,"p"
"mean_subjects" ,0.571600000000000 ,0.571600000000000 ,0.571600000000000 ,0.000000000000000
"effect_subject1" ,1.000000000000000 ,1.000000000000000 ,1.000000000000000 ,0.166666666666667
"mean_motor" ,0.512700000000000 ,0.512700000000000 ,0.512700000000000 ,0.000000000000000
"mean_motor_nofisher" ,0.514500000000000 ,0.514500000000000 ,0.514500000000000 ,0.000000000000000
"mean_motor_site" ,0.566300000000000 ,0.566300000000000 ,0.566300000000000 ,0.000000000000000
"mean_subjects_site" ,0.616400000000000 ,0.616400000000000 ,0.616400000000000 ,0.000000000000000
