"" ,"network4" ,"network16" ,"per_disc" ,"p"
"avg_corr_all" ,0.500000000000000 ,0.359375000000000 ,0.429687500000000 ,0.000000000000000
"avg_corr_young" ,0.250000000000000 ,0.390625000000000 ,0.320312500000000 ,0.000000000000000
"corr_vs_age" ,0.750000000000000 ,0.039062500000000 ,0.394531250000000 ,0.205000000000000
