scores_resample_part , submitted
scores_resample_part , finished
scores_resample_mask , submitted
scores_resample_mask , finished
scores_subject1_session1_motor , submitted
scores_subject1_session1_motor , finished
scores_subject2_session1_motor , submitted
scores_subject2_session1_motor , finished
